Area Name,"Employment per 1,000 jobs",Occupation
Washington (53-00000),3.713,Lawyer
West Virginia (54-00000),3.504,Lawyer
Wisconsin (55-00000),3.015,Lawyer
Wyoming (56-00000),3.387,Lawyer
Alabama (01-00000),0.962,Graphic Designer
Alaska (02-00000),0.475,Graphic Designer
Arizona (04-00000),1.355,Graphic Designer
Arkansas (05-00000),1.129,Graphic Designer
California (06-00000),1.568,Graphic Designer
Colorado (08-00000),1.632,Graphic Designer
Connecticut (09-00000),1.176,Graphic Designer
Delaware (10-00000),0.887,Graphic Designer
District of Columbia (11-00000),1.807,Graphic Designer
Florida (12-00000),1.427,Graphic Designer
Georgia (13-00000),1.114,Graphic Designer
Guam (66-00000),1.244,Graphic Designer
Hawaii (15-00000),0.817,Graphic Designer
Idaho (16-00000),1.153,Graphic Designer
Illinois (17-00000),1.302,Graphic Designer
Indiana (18-00000),1.405,Graphic Designer
Iowa (19-00000),1.426,Graphic Designer
Kansas (20-00000),1.453,Graphic Designer
Kentucky (21-00000),0.957,Graphic Designer
Louisiana (22-00000),0.626,Graphic Designer
Maine (23-00000),0.925,Graphic Designer
Maryland (24-00000),1.414,Graphic Designer
Massachusetts (25-00000),1.342,Graphic Designer
Michigan (26-00000),1.364,Graphic Designer
Minnesota (27-00000),1.869,Graphic Designer
Mississippi (28-00000),0.792,Graphic Designer
Missouri (29-00000),1.268,Graphic Designer
Montana (30-00000),1.277,Graphic Designer
Nebraska (31-00000),1.750,Graphic Designer
Nevada (32-00000),1.291,Graphic Designer
New Hampshire (33-00000),0.994,Graphic Designer
New Jersey (34-00000),1.381,Graphic Designer
New Mexico (35-00000),1.365,Graphic Designer
New York (36-00000),1.754,Graphic Designer
North Carolina (37-00000),1.472,Graphic Designer
North Dakota (38-00000),1.170,Graphic Designer
Ohio (39-00000),1.269,Graphic Designer
Oklahoma (40-00000),1.047,Graphic Designer
Oregon (41-00000),1.569,Graphic Designer
Pennsylvania (42-00000),1.376,Graphic Designer
Puerto Rico (72-00000),1.329,Graphic Designer
Rhode Island (44-00000),1.661,Graphic Designer
South Carolina (45-00000),0.877,Graphic Designer
South Dakota (46-00000),1.040,Graphic Designer
Tennessee (47-00000),1.280,Graphic Designer
Texas (48-00000),1.398,Graphic Designer
Utah (49-00000),1.797,Graphic Designer
Vermont (50-00000),1.554,Graphic Designer
Virginia (51-00000),1.354,Graphic Designer
Washington (53-00000),1.542,Graphic Designer
West Virginia (54-00000),0.764,Graphic Designer
Wisconsin (55-00000),1.585,Graphic Designer
Wyoming (56-00000),0.883,Graphic Designer
